"","NUNID.2","NUNID.1","NUNIDS.2","AGB.2","AGB.1","BALIVE.2","BALIVE.1","CUT","FIRE_ALL","INSDIS","G_FIRE","C_FIRE","LAT.2","LON.2","REMPER.2","MEASYEAR.2","MEASYEAR.1","STDAGE.2","STDAGE.1","STDORGCD.1","STDORGCD.2","FORTYPCD.1","FORTYPCD.2","ECOSUBCD.1","DISTURB","rep_std","since_fire","severity","sev_mean","fire_id_mtbs","id_1","fire_yr","fire_mn","fire_day","INVYR.x","STATECD.x","UNITCD.x","COUNTYCD.x","PLOT.x","MEASMON","MEASDAY","pplotid.x","INVYR.y","STATECD.y","UNITCD.y","COUNTYCD.y","PLOT.y","FLDSZCD.x","CONDPROP_UNADJ.x","STDAGE.x","FLDAGE.x","pplotid.y","INVYR","STATECD","UNITCD","COUNTYCD","PLOT","FLDSZCD.y","CONDPROP_UNADJ.y","STDAGE.y","FLDAGE.y","pplotid","date","date_ym","diff_yr","diff_mn","diff_dy","diff_days","diff_months","diff_years","seed_count.1","sd_spp_rich.1","seed_count_con.1","sd_spp_rich_con.1","seed_count.2","sd_spp_rich.2","seed_count_con.2","sd_spp_rich_con.2","seed_ct_ch","sdsp_rh_ch","seed_ct_ch_con","sdsp_rh_ch_con"
"11","12-1-23-35-2011","12-1-23-35-2004","12-1-23-35",10876.7904470253,79490.1583612319,8.9529,64.3842,0,1,0,0,0,30.221066,-82.477845,5.7,2011,2005,0,85,0,0,141,999," 232Ca",1,1,1,0,2,"FL3021808249620100109","FL30218082496","2010","01","09",2004,12,1,23,35,4,28,"12-1-23-35",2004,12,1,23,35,3,1,85,85,"12-1-23-35",2011,12,1,23,35,3,1,0,91,"12-1-23-35","2011-4-28","2011-4",1,3,19,475,15.62,1.3,0,0,0,0,0,0,0,0,0,0,0,0
"12","12-1-23-44-2011","12-1-23-44-2004","12-1-23-44",172363.584403753,180207.576228693,189.3971,199.1588,0,1,0,0,0,30.511992,-82.494187,5.8,2011,2005,53,47,0,0,608,608," 232Cd",1,0,1,0,1,"GA3067208246020070425","GA30672082460","2007","04","25",2004,12,1,23,44,5,10,"12-1-23-44",2004,12,1,23,44,2,1,47,47,"12-1-23-44",2011,12,1,23,44,2,1,53,53,"12-1-23-44","2011-5-10","2011-5",4,1,-15,1475,48.5,4.04,740.90464,1,0,0,3148.84472,2,0,0,2407.94008,1,0,0
"13","12-1-23-47-2011","12-1-23-47-2004","12-1-23-47",96241.1011257924,108760.147310096,65.9864,90.6627,0,0,0,0,0,30.369349,-82.577399,5.8,2011,2005,71,65,0,0,142,141," 232Ca",0,0,5,0,2,"FL3033808256220060502","FL30338082562","2006","05","02",2004,12,1,23,47,5,2,"12-1-23-47",2004,12,1,23,47,3,1,65,65,"12-1-23-47",2011,12,1,23,47,3,1,71,71,"12-1-23-47","2011-5-2","2011-5",5,0,0,1825,60.01,5,370.45232,1,0,0,185.22616,1,0,0,-185.22616,0,0,0
"14","12-1-23-56-2012","12-1-23-56-2006","12-1-23-56",19721.0870028498,16575.7174977112,25.2933,14.3368,0,0,0,0,0,30.31504,-82.553523,6.2,2012,2005,29,22,0,0,142,142," 232Ca",0,0,1,0,2,"FL3030808254220110104","FL30308082542","2011","01","04",2006,12,1,23,56,12,14,"12-1-23-56",2006,12,1,23,56,1,1,22,22,"12-1-23-56",2012,12,1,23,56,2,0.25,55,55,"12-1-23-56","2012-12-14","2012-12",1,11,10,710,23.35,1.95,2407.94008,2,2407.94008,2,1481.80928,3,1111.35696,2,-926.1308,1,-1296.58312,0
"15","12-1-23-70-2012","12-1-23-70-2006","12-1-23-70",117056.011660289,110636.912953339,222.441,227.0833,0,0,0,0,0,30.404184,-82.543446,6.3,2012,2006,39,33,0,0,608,608," 232Cd",0,0,5,0,1,"GA3067208246020070425","GA30672082460","2007","04","25",2006,12,1,23,70,1,3,"12-1-23-70",2006,12,1,23,70,1,0.2923,15,15,"12-1-23-70",2012,12,1,23,70,1,0.2923,21,21,"12-1-23-70","2012-1-3","2012-1",5,-3,-22,1712,56.3,4.69,3889.74936,2,0,0,3889.74936,2,0,0,0,0,0,0
"16","12-1-23-83-2013","12-1-23-83-2007","12-1-23-83",104457.043773595,197742.759860328,107.8341,192.2773,0,1,0,0,0,30.50005,-82.46474,7,2013,2006,63,57,0,0,608,608," 232Cd",1,0,6,0,1,"GA3067208246020070425","GA30672082460","2007","04","25",2007,12,1,23,83,6,25,"12-1-23-83",2007,12,1,23,83,2,1,57,57,"12-1-23-83",2013,12,1,23,83,3,1,63,63,"12-1-23-83","2013-6-25","2013-6",6,2,0,2251,74.02,6.17,370.45232,1,0,0,1481.80928,2,0,0,1111.35696,1,0,0
"17","12-1-23-84-2013","12-1-23-84-2007","12-1-23-84",0,52559.8452167498,0,61.2833,0,1,0,0,0,30.409306,-82.49278,6,2013,2007,0,25,1,0,142,608," 232Cd",1,1,2,1,3,"FL3040908248020110606","FL30409082480","2011","06","06",2007,12,1,23,84,6,26,"12-1-23-84",2007,12,1,23,84,2,1,25,25,"12-1-23-84",2013,12,1,23,84,0,1,0,0,"12-1-23-84","2013-6-26","2013-6",2,0,20,750,24.66,2.06,0,0,0,0,0,0,0,0,0,0,0,0
"18","12-1-3-15-2011","12-1-3-15-2004","12-1-3-15",89914.4139496289,82071.6802800837,58.5273,56.5464,0,0,0,0,0,30.367305,-82.277202,6.9,2011,2004,82,75,0,0,141,141," 232Ca",0,0,3,0,2,"FL3036008230320060502","FL30360082303","2006","05","02",2004,12,1,3,15,7,21,"12-1-3-15",2004,12,1,3,15,3,1,75,75,"12-1-3-15",2011,12,1,3,15,3,1,82,82,"12-1-3-15","2011-7-21","2011-7",5,2,19,1905,62.64,5.22,0,0,0,0,0,0,0,0,0,0,0,0
"19","12-1-3-158-2016","12-1-3-158-2011","12-1-3-158",13022.7268222739,10383.8178037257,11.1436,8.3585,1,1,0,1,0,30.277382,-82.378479,6.5,2017,2011,0,48,1,1,142,999," 232Ca",1,1,1,0,2,"FL3027208237620160211","FL30272082376","2016","02","11",2011,12,1,3,158,4,13,"12-1-3-158",2011,12,1,3,158,2,1,48,48,"12-1-3-158",2016,12,1,3,158,3,1,0,53,"12-1-3-158","2017-4-13","2017-4",1,2,2,428,14.07,1.17,1667.03544,2,926.1308,1,370.45232,1,0,0,-1296.58312,-1,-926.1308,-1
"20","12-1-3-181-2011","12-1-3-181-2004","12-1-3-181",14276.2544492787,10370.2049280998,39.6892,27.8288,0,0,0,0,0,30.527058,-82.374419,6.9,2011,2004,57,50,0,0,142,142," 232Cd",0,0,4,0,1,"GA3067208246020070425","GA30672082460","2007","04","25",2004,12,1,3,181,7,21,"12-1-3-181",2004,12,1,3,181,2,0.25,0,30,"12-1-3-181",2011,12,1,3,181,2,0.25,0,37,"12-1-3-181","2011-7-21","2011-7",4,3,-4,1547,50.87,4.24,1296.58312,2,185.22616,1,740.90464,1,0,0,-555.67848,-1,-185.22616,-1
"21","12-1-3-25-2016","12-1-3-25-2011","12-1-3-25",15448.3059315733,15232.2977812227,14.6584,10.5885,0,1,0,1,0,30.28118,-82.4373,5.8,2017,2011,71,66,0,0,142,141," 232Ca",1,0,4,1,3,"FL3033008235720140217","FL30330082357","2014","02","17",2011,12,1,3,25,4,14,"12-1-3-25",2011,12,1,3,25,3,1,66,66,"12-1-3-25",2016,12,1,3,25,3,1,71,71,"12-1-3-25","2017-4-14","2017-4",3,2,-3,1153,37.92,3.16,0,0,0,0,0,0,0,0,0,0,0,0
"22","12-1-3-31-2011","12-1-3-31-2004","12-1-3-31",146542.916584726,122175.067835594,113.2934,110.0007,0,0,0,0,0,30.376251,-82.425691,7.8,2011,2003,73,65,0,0,608,608," 232Ca",0,0,3,0,1,"FL3034708245720080225","FL30347082457","2008","02","25",2004,12,1,3,31,7,15,"12-1-3-31",2004,12,1,3,31,3,1,65,65,"12-1-3-31",2011,12,1,3,31,3,1,73,73,"12-1-3-31","2011-7-15","2011-7",3,5,-10,1237,40.68,3.39,0,0,0,0,0,0,0,0,0,0,0,0
"23","12-1-3-49-2013","12-1-3-49-2007","12-1-3-49",66530.2442260799,58083.9567512843,47.7024,45.8825,0,1,0,1,0,30.197133,-82.441703,6.4,2013,2007,85,77,0,0,141,141," 232Ca",1,0,5,0,2,"FL3018908244120080905","FL30189082441","2008","09","05",2007,12,1,3,49,6,18,"12-1-3-49",2007,12,1,3,49,3,1,77,77,"12-1-3-49",2013,12,1,3,49,3,1,85,85,"12-1-3-49","2013-6-18","2013-6",5,-3,13,1747,57.45,4.79,0,0,0,0,0,0,0,0,0,0,0,0
"24","12-1-3-50-2013","12-1-3-50-2007","12-1-3-50",0,74618.0084158393,0,60.6974,0,1,0,1,0,30.414292,-82.355939,6.6,2014,2007,76,69,0,0,142,142," 232Cd",1,0,3,1,3,"FL3041208238120110124","FL30412082381","2011","01","24",2007,12,1,3,50,6,18,"12-1-3-50",2007,12,1,3,50,1,0.25,0,9,"12-1-3-50",2013,12,1,3,50,3,1,76,76,"12-1-3-50","2014-6-18","2014-6",3,5,-6,1241,40.81,3.4,0,0,0,0,0,0,0,0,0,0,0,0
"25","12-1-3-55-2013","12-1-3-55-2007","12-1-3-55",28359.4658419798,75065.1693225043,27.1205,86.5941,0,1,0,0,0,30.339161,-82.375477,6.4,2013,2007,66,63,0,0,142,142," 232Ca",1,0,3,0,2,"FL3034708240120090128","FL30347082401","2009","01","28",2007,12,1,3,55,6,19,"12-1-3-55",2007,12,1,3,55,3,1,63,63,"12-1-3-55",2013,12,1,3,55,3,1,66,66,"12-1-3-55","2013-6-19","2013-6",4,5,-9,1603,52.71,4.39,0,0,0,0,0,0,0,0,0,0,0,0
"26","12-1-31-22-2016","12-1-31-22-2011","12-1-31-22",24322.3234450645,21556.3959007296,52.5713,47.7417,0,0,0,0,0,30.194024,-81.898016,6.7,2017,2010,58,51,0,0,609,609," 232Ca",0,0,1,0,2,"FL3019408186820160221","FL30194081868","2016","02","21",2011,12,1,31,22,11,9,"12-1-31-22",2011,12,1,31,22,1,1,51,51,"12-1-31-22",2016,12,1,31,22,1,1,58,58,"12-1-31-22","2017-11-9","2017-11",1,9,-12,627,20.62,1.72,0,0,0,0,0,0,0,0,0,0,0,0
"27","12-1-83-167-2013","12-1-83-167-2007","12-1-83-167",121723.289550365,111192.35029122,82.5947,79.6936,0,0,0,0,0,29.324009,-81.758603,7,2013,2006,94,80,0,0,141,141," 232Kb",0,0,2,0,1,"FL2933408175120110806","FL29334081751","2011","08","06",2007,12,1,83,167,7,13,"12-1-83-167",2007,12,1,83,167,3,1,80,80,"12-1-83-167",2013,12,1,83,167,3,1,94,94,"12-1-83-167","2013-7-13","2013-7",2,-1,7,707,23.25,1.94,15373.77128,5,0,0,5001.10632,3,0,0,-10372.66496,-2,0,0
"28","12-1-83-408-2016","12-1-83-408-2011","12-1-83-408",31667.3442901923,13980.2204724382,33.9546,19.958,0,0,0,0,0,29.325472,-81.709545,6.1,2016,2010,20,15,1,1,409,164," 232Kb",0,0,3,0,2,"FL2933008173020130726","FL29330081730","2013","07","26",2011,12,1,83,408,12,1,"12-1-83-408",2011,12,1,83,408,2,1,15,15,"12-1-83-408",2016,12,1,83,408,2,1,20,20,"12-1-83-408","2016-12-1","2016-12",3,5,-25,1222,40.18,3.35,2037.48776,3,185.22616,1,3148.84472,2,0,0,1111.35696,-1,-185.22616,-1
"29","12-1-83-411-2016","12-1-83-411-2011","12-1-83-411",26551.222686861,22246.7201312819,39.5352,35.7031,0,1,0,1,0,29.250499,-81.742091,6.1,2016,2010,55,50,0,0,514,514," 232Kb",1,0,3,1,3,"FL2925008175020150226","FL29250081750","2015","02","26",2011,12,1,83,411,12,1,"12-1-83-411",2011,12,1,83,411,1,0.25,10,10,"12-1-83-411",2016,12,1,83,411,1,0.25,15,15,"12-1-83-411","2016-12-1","2016-12",1,10,-25,644,21.18,1.76,2037.48776,3,740.90464,1,1852.2616,4,370.45232,1,-185.22616,1,-370.45232,0
"30","12-1-83-456-2017","12-1-83-456-2012","12-1-83-456",70972.5768335699,60484.5210495321,61.0158,56.6177,0,0,0,0,0,29.141714,-81.923032,6.7,2018,2012,39,33,0,0,141,141," 232Kb",1,0,4,0,2,"FL2916008194220140216","FL29160081942","2014","02","16",2012,12,1,83,456,4,3,"12-1-83-456",2012,12,1,83,456,2,1,33,33,"12-1-83-456",2017,12,1,83,456,2,1,39,39,"12-1-83-456","2018-4-3","2018-4",4,2,-13,1508,49.59,4.13,6668.14176,3,0,0,6668.14176,4,0,0,0,1,0,0
"31","12-1-83-460-2016","12-1-83-460-2011","12-1-83-460",58632.4948558284,54335.6132435191,47.0667,43.7936,0,1,0,0,0,29.47645,-81.81046,6.1,2016,2010,87,82,0,0,141,141," 232Kb",1,0,1,0,2,"FL2948008182020150503","FL29480081820","2015","05","03",2011,12,1,83,460,11,30,"12-1-83-460",2011,12,1,83,460,3,1,82,82,"12-1-83-460",2016,12,1,83,460,3,1,87,87,"12-1-83-460","2016-11-30","2016-11",1,6,27,574,18.88,1.57,3704.5232,3,0,0,4630.654,3,370.45232,1,926.1308,0,370.45232,1
"32","12-1-83-91-2016","12-1-83-91-2011","12-1-83-91",72684.1652724579,69475.0596715679,60.8525,59.2432,0,0,0,0,0,29.336792,-81.796755,5.6,2016,2011,79,74,0,0,141,141," 232Kb",0,0,2,0,2,"FL2933408178320110729","FL29334081783","2011","07","29",2011,12,1,83,91,5,9,"12-1-83-91",2011,12,1,83,91,3,1,74,74,"12-1-83-91",2016,12,1,83,91,3,1,79,79,"12-1-83-91","2016-5-9","2016-5",5,-2,-20,1744,57.35,4.78,0,0,0,0,0,0,0,0,0,0,0,0
"33","12-2-113-103-2013","12-2-113-103-2007","12-2-113-103",46163.1979850243,44331.3227886179,40.3356,29.1443,0,1,0,1,0,30.904132,-86.806332,5.8,2013,2007,57,51,0,0,403,403," 232Bg",1,0,1,0,2,"FL3092408678620121117","FL30924086786","2012","11","17",2007,12,2,113,103,9,26,"12-2-113-103",2007,12,2,113,103,3,1,51,51,"12-2-113-103",2013,12,2,113,103,3,1,57,57,"12-2-113-103","2013-9-26","2013-9",1,-2,9,313,10.29,0.86,10928.34344,7,2778.3924,1,5186.33248,5,185.22616,1,-5742.01096,-2,-2593.16624,0
"34","12-2-113-112-2013","12-2-113-112-2007","12-2-113-112",51922.7697819409,44357.5230499722,41.54,29.0955,0,1,0,1,0,30.816594,-86.94635,7.1,2013,2006,76,69,0,0,141,141," 232Bj",1,0,3,0,2,"FL3082008693520100330","FL30820086935","2010","03","30",2007,12,2,113,112,6,21,"12-2-113-112",2007,12,2,113,112,3,1,69,69,"12-2-113-112",2013,12,2,113,112,3,1,76,76,"12-2-113-112","2013-6-21","2013-6",3,3,-9,1177,38.7,3.22,2778.3924,1,2778.3924,1,740.90464,2,555.67848,1,-2037.48776,1,-2222.71392,0
"35","12-2-113-42-2011","12-2-113-42-2004","12-2-113-42",29773.3920271885,22558.204397281,49.6357,37.5431,0,1,0,1,0,30.461186,-86.856514,6.3,2011,2005,51,45,0,0,141,141," 232Lb",1,0,3,0,2,"FL3048308681820060131","FL30483086818","2006","01","31",2004,12,2,113,42,1,10,"12-2-113-42",2004,12,2,113,42,2,1,45,45,"12-2-113-42",2011,12,2,113,42,3,1,51,51,"12-2-113-42","2011-1-10","2011-1",5,0,-21,1804,59.32,4.94,1667.03544,2,1296.58312,1,1667.03544,3,185.22616,1,0,1,-1111.35696,0
"36","12-2-113-72-2012","12-2-113-72-2006","12-2-113-72",30599.4636082052,27274.0034085135,27.6503,18.1078,0,0,0,0,0,30.945337,-86.956497,5.9,2011,2006,70,65,0,0,520,141," 232Bj",0,0,2,0,2,"FL3095708696920081203","FL30957086969","2008","12","03",2006,12,2,113,72,1,23,"12-2-113-72",2006,12,2,113,72,2,0.29,65,65,"12-2-113-72",2012,12,2,113,72,3,1,70,70,"12-2-113-72","2011-1-23","2011-1",3,-11,20,780,25.65,2.14,370.45232,1,0,0,3519.29704,3,2222.71392,1,3148.84472,2,2222.71392,1
"37","12-2-113-76-2012","12-2-113-76-2006","12-2-113-76",19905.3086642672,17295.1772761008,43.281,34.9797,0,0,0,0,0,30.809434,-86.868554,6,2011,2005,26,20,0,0,141,141," 232Bj",0,0,1,1,3,"FL3081608686020110116","FL30816086860","2011","01","16",2006,12,2,113,76,12,29,"12-2-113-76",2006,12,2,113,76,NA,0.25,NA,NA,"12-2-113-76",2012,12,2,113,76,NA,0.25,NA,NA,"12-2-113-76","2011-12-29","2011-12",0,11,13,348,11.44,0.95,2778.3924,5,1852.2616,1,3148.84472,3,2037.48776,1,370.45232,-2,185.22616,0
"38","12-2-113-79-2012","12-2-113-79-2006","12-2-113-79",78552.2113786381,64945.328103597,63.0478,55.0123,0,1,0,0,0,30.965967,-86.808324,5.9,2011,2006,87,82,0,0,141,141," 232Bj",1,0,3,0,2,"FL3097408681220091105","FL30974086812","2009","11","05",2006,12,2,113,79,1,23,"12-2-113-79",2006,12,2,113,79,3,0.5,82,82,"12-2-113-79",2012,12,2,113,79,3,0.5,87,87,"12-2-113-79","2011-1-23","2011-1",2,-10,18,444,14.6,1.22,0,0,0,0,0,0,0,0,0,0,0,0
"39","12-2-113-8-2016","12-2-113-8-2011","12-2-113-8",89180.4550960492,75943.2143139759,68.6924,63.0275,0,1,1,1,0,30.937523,-86.849847,5.6,2016,2011,80,75,0,0,141,141," 232Bg",1,0,5,0,2,"FL3094808685020100115","FL30948086850","2010","01","15",2011,12,2,113,8,1,18,"12-2-113-8",2011,12,2,113,8,2,0.2146,75,75,"12-2-113-8",2016,12,2,113,8,2,0.214636,80,80,"12-2-113-8","2016-1-18","2016-1",6,0,3,2193,72.11,6.01,0,0,0,0,0,0,0,0,0,0,0,0
"40","12-2-113-90-2012","12-2-113-90-2006","12-2-113-90",31327.7015532689,29883.8299203701,29.7652,34.8222,0,1,0,1,0,30.890172,-86.809217,5.9,2011,2006,71,66,0,0,141,141," 232Bg",1,0,1,0,2,"FL3088408682920110919","FL30884086829","2011","09","19",2006,12,2,113,90,1,24,"12-2-113-90",2006,12,2,113,90,3,0.25,66,66,"12-2-113-90",2012,12,2,113,90,3,0.25,71,71,"12-2-113-90","2011-1-24","2011-1",0,-8,5,-238,-7.83,-0.65,555.67848,3,185.22616,1,2593.16624,2,2407.94008,1,2037.48776,-1,2222.71392,0
"41","12-2-113-98-2013","12-2-113-98-2007","12-2-113-98",27990.409554723,20746.8067626482,51.5714,40.295,0,1,0,1,0,30.845548,-86.822881,5.8,2013,2007,38,32,0,0,141,141," 232Bg",1,0,3,0,2,"FL3084208681920100203","FL30842086819","2010","02","03",2007,12,2,113,98,10,4,"12-2-113-98",2007,12,2,113,98,3,1,32,32,"12-2-113-98",2013,12,2,113,98,3,1,38,38,"12-2-113-98","2013-10-4","2013-10",3,8,1,1339,44.03,3.67,9631.76032,4,370.45232,1,7779.49872,5,0,0,-1852.2616,1,-370.45232,-1
"42","12-2-129-1-2016","12-2-129-1-2011","12-2-129-1",11474.2173819499,15457.9527931128,16.1532,15.7711,0,1,0,1,0,30.139053,-84.542995,6,2016,2010,71,66,0,0,141,141," 232Lc",1,0,4,1,3,"FL3018808460320130408","FL30188084603","2013","04","08",2011,12,2,129,1,11,23,"12-2-129-1",2011,12,2,129,1,2,0.5,66,66,"12-2-129-1",2016,12,2,129,1,2,0.5,71,71,"12-2-129-1","2016-11-23","2016-11",3,7,15,1323,43.51,3.63,2037.48776,2,185.22616,1,4815.88016,1,0,0,2778.3924,-1,-185.22616,-1
"43","12-2-129-12-2016","12-2-129-12-2011","12-2-129-12",99667.461040185,98640.4359938572,75.548,76.551,0,1,0,1,0,30.0593,-84.393258,6.2,2016,2010,85,80,0,0,141,141," 232Lc",1,0,2,0,2,"FL3006208439320160218","FL30062084393","2016","02","18",2011,12,2,129,12,9,28,"12-2-129-12",2011,12,2,129,12,3,1,80,80,"12-2-129-12",2016,12,2,129,12,3,1,85,85,"12-2-129-12","2016-9-28","2016-9",0,7,10,223,7.33,0.61,0,0,0,0,0,0,0,0,0,0,0,0
"44","12-2-129-156-2017","12-2-129-156-2012","12-2-129-156",29631.2422064008,28078.614888011,37.3131,37.3165,0,1,0,1,0,30.296741,-84.488287,6.3,2018,2012,39,30,1,1,142,142," 232Lc",1,0,1,0,2,"FL3030708446920170213","FL30307084469","2017","02","13",2012,12,2,129,156,8,28,"12-2-129-156",2012,12,2,129,156,2,1,30,30,"12-2-129-156",2017,12,2,129,156,3,0.026335,60,60,"12-2-129-156","2018-8-28","2018-8",1,6,15,562,18.48,1.54,0,0,0,0,0,0,0,0,0,0,0,0
